TradeDate,Open,High,Low,Close,Settle,Change,TotalVolume,EFP,PrevDayOpenInterest
4/6/2015,0,17.3,17.35,0,17.175,17.18,0,0,40
4/2/2015,0,17.3,17.9,0,17.8,0.1,0,0,40
4/1/2015,0,18,17.95,0,17.7,-0.25,0,0,40
3/31/2015,0,17.35,17.65,0,17.95,0.65,0,0,40
3/30/2015,0,17.1,17.5,0,17.3,-0.5,0,0,40
3/27/2015,0,17.4,17.95,0,17.8,-0.3,0,0,40
3/26/2015,0,18.2,18.2,0,18.1,0.12,0,0,40
3/25/2015,0,17.35,17,0,17.975,1.12,0,0,40
3/24/2015,0,16.5,16.7,0,16.85,-0.1,0,0,40
3/23/2015,0,16.6,17.15,0,16.95,-0.22,0,0,40
3/20/2015,0,17,17.15,0,17.175,-0.12,0,0,40
3/19/2015,0,17.25,17.65,0,17.3,-0.2,0,0,40
3/18/2015,0,17.95,17.8,0,17.5,-0.5,0,0,40
3/17/2015,0,17.25,17.05,0,16.7,-0.85,0,0,91
3/16/2015,17.2,17.2,17.2,17.2,17.55,-0.48,5,0,91
3/13/2015,0,17.8,17.4,0,18.025,0.88,0,0,91
3/12/2015,0,17.65,17.25,0,17.15,-1.45,0,0,91
3/11/2015,18.05,18.25,18.05,18.05,18.6,0.75,3,0,91
3/10/2015,17.5,17.85,17.5,17.85,17.85,1.22,10,0,94
3/9/2015,16.95,16.95,16.8,16.95,16.625,-0.35,5,0,104
3/6/2015,16.05,16.7,16.05,16.05,16.975,0.9,10,0,109
3/5/2015,0,16.15,16.35,0,16.075,-0.3,0,0,119
3/4/2015,0,16.65,16.7,0,16.375,0.05,0,0,119
3/3/2015,16.55,16.6,16.45,16.55,16.325,0.48,1,0,119
3/2/2015,16,16.1,16,16,15.85,-0.75,10,0,119
2/27/2015,16.15,16.4,16.15,16.4,16.6,-0.02,15,0,109
2/26/2015,16.6,16.6,16.55,16.6,16.625,0,1,0,124
2/25/2015,16.35,16.8,16.35,16.7,16.625,0.02,23,0,124
2/24/2015,0,17.05,16.95,0,16.6,-0.65,0,0,144
2/23/2015,0,17.2,17.5,0,17.25,-0.1,0,0,144
2/20/2015,18,18.1,17.35,17.35,17.35,-0.6,3,0,144
2/19/2015,18.3,18.3,18.25,18.3,17.95,-0.45,1,0,144
2/18/2015,18.65,18.65,18.55,18.55,18.4,-0.18,4,0,144
2/17/2015,16.75,16.75,16.3,16.3,16.375,-0.22,10,0,120
2/13/2015,16.6,17.05,16.55,16.55,16.6,-0.8,32,0,122
2/12/2015,17.95,18.1,17.45,17.6,17.4,-1.2,6,0,129
2/11/2015,19.1,19.3,18.9,18.95,18.6,-0.62,33,0,129
2/10/2015,19.95,20.05,19.45,20.05,19.225,-1.32,10,0,120
2/9/2015,20.8,20.9,20.75,20.8,20.55,0.18,5,0,110
2/6/2015,0,20.8,19.8,0,20.375,0.52,0,0,105
2/5/2015,19.8,20.15,19.8,19.8,19.85,-1.2,5,0,105
2/4/2015,0,20.8,20.15,0,21.05,0.62,0,0,100
2/3/2015,20.45,21.25,20.4,20.4,20.425,-0.55,10,0,100
2/2/2015,22.05,22.75,21.2,21.65,20.975,-0.85,45,0,90
1/30/2015,20.75,22.35,20.6,20.6,21.825,1.42,50,0,90
1/29/2015,21.6,21.8,20.55,21.25,20.4,-0.92,30,0,70
1/28/2015,21.3,21.3,19.3,21.3,21.325,1.88,5,0,40
1/27/2015,19.7,20.05,19.45,20.05,19.45,0.95,15,0,35
1/26/2015,0,19.35,18.7,0,18.5,-0.78,0,0,50
1/23/2015,0,19.3,18.8,0,19.275,0.22,0,0,50
1/22/2015,19.9,20.35,19.2,19.9,19.05,-1.08,5,0,50
1/21/2015,21.3,21.5,20.25,20.25,20.125,-1.1,45,0,50
1/20/2015,21.6,22,20.95,21.6,21.225,-0.58,5,0,5
1/16/2015,22.6,23.2,21.85,22.55,21.8,-0.68,10,0,10
1/15/2015,22.35,22.55,21.55,21.55,22.475,0.95,20,0,6
1/14/2015,22.25,22.35,21.75,22.25,21.525,0.2,5,0,10
1/13/2015,0,21.75,19.7,0,21.325,0.52,0,0,5
1/12/2015,0,21,19.95,0,20.8,0.82,0,0,5
1/9/2015,0,20.1,19.15,0,19.975,0.82,0,0,5
1/8/2015,0,19.55,19.15,0,19.15,-1.12,0,0,5
1/7/2015,20.3,20.7,20.2,20.2,20.275,-1.12,10,0,5
1/6/2015,21.45,21.75,20.35,20.75,21.4,0.9,35,0,6
1/5/2015,20.3,20.75,19.95,20.35,20.5,0.92,10,0,35
1/2/2015,20.45,20.5,19,20.3,19.575,-0.15,20,0,40
12/31/2014,19.6,20.25,18.45,19.9,19.725,1.22,40,0,20
12/30/2014,18.2,18.5,18.15,18.25,18.5,0.42,15,0,30
12/29/2014,18.05,18.2,18,18,18.075,0.3,20,0,30
12/26/2014,17.9,18.1,17.9,18.1,17.775,-0.4,10,0,35
12/24/2014,0,18.05,18.05,0,18.175,0.18,0,0,45
12/23/2014,18.35,18.35,18,18.05,18,-0.28,10,0,45
12/22/2014,18.25,18.25,18,18.25,18.28,-0.12,5,0,35
12/19/2014,18.9,18.95,18.45,18.9,18.4,-0.7,5,0,40
12/18/2014,18.8,19.1,18.6,19,19.1,-0.35,55,0,45
12/17/2014,20.2,21.1,19.3,19.4,19.45,-1.95,30,0,31
12/16/2014,22.45,23.85,20.55,22.3,23.9,2.95,62,0,71
12/15/2014,19.5,21.8,19.35,20.75,20.95,0.25,23,0,53
12/12/2014,0,20.55,19.25,0,20.7,0.5,0,0,36
12/11/2014,18.8,20.15,17.1,20.1,20.2,1.55,50,0,36
12/10/2014,18.05,18.45,16.6,18.1,18.65,2.25,20,0,86
12/9/2014,17.25,17.3,16.35,17.25,16.4,0.05,10,0,66
12/8/2014,0,16.35,15.45,0,16.35,0.7,0,0,61
12/5/2014,0,15.7,15.65,0,15.65,-0.25,0,0,61
12/4/2014,0,16.05,15.8,0,15.9,-0.25,0,0,61
12/3/2014,0,16.05,15.9,0,16.15,0.1,0,0,61
12/2/2014,0,16.75,16.2,0,16.05,-1.1,0,0,61
12/1/2014,16.25,17.05,16.25,16.7,17.15,1.05,20,0,61
11/28/2014,0,16,15.55,0,16.1,0.3,0,0,61
11/26/2014,0,16.1,15.85,0,15.8,-0.2,0,0,61
11/25/2014,0,16.2,16.15,0,16,-0.15,0,0,61
11/24/2014,0,16.45,16.25,0,16.15,-0.5,0,0,61
11/21/2014,0,16.6,16.6,0,16.65,0.05,0,0,61
11/20/2014,16.85,17.2,16.75,16.85,16.6,-0.45,10,0,61
11/19/2014,0,0,0,0,15.23,-0.22,0,0,92
11/18/2014,0,15.55,15.3,0,15.45,-0.5,0,0,92
11/17/2014,15.95,16.05,15.85,15.95,15.95,0.15,5,0,92
11/14/2014,15.65,15.8,15.5,15.8,15.8,0.05,60,0,97
11/13/2014,15.5,15.8,15.4,15.5,15.75,0.05,10,0,157
11/12/2014,0,15.85,15.7,0,15.7,0.05,0,0,147
11/11/2014,0,15.9,15.65,0,15.65,-0.1,0,0,147
11/10/2014,0,16.1,15.6,0,15.75,-0.75,0,0,147
11/7/2014,16.55,16.8,16.55,16.55,16.5,-0.25,10,0,147
11/6/2014,17,17.15,16.75,17,16.75,-0.35,10,0,157
11/5/2014,17,17.3,16.9,17.05,17.1,-0.1,25,0,167
11/4/2014,17.3,17.65,17.2,17.2,17.2,-0.25,55,0,172
11/3/2014,17.2,17.5,17.2,17.35,17.45,-0.05,20,0,187
10/31/2014,17.2,17.35,17.1,17.15,17.5,-0.4,15,0,167
10/30/2014,18.25,18.25,17.8,17.85,17.9,0,15,0,152
10/29/2014,0,18.05,17.7,0,17.9,0.3,0,0,137
10/28/2014,17.85,18.15,17.75,17.85,17.6,-0.75,5,0,137
10/27/2014,0,19.1,18.5,0,18.35,-0.45,0,0,142
10/24/2014,0,19.75,18.9,0,18.8,-0.15,0,0,142
10/23/2014,0,19.15,18.7,0,18.95,-0.65,0,0,142
10/22/2014,0,0,0,0,18.21,-0.34,0,0,0
10/21/2014,0,19.35,18.6,0,18.55,-1.8,0,0,5
10/20/2014,20.3,23,20.3,20.3,20.35,-2.55,5,0,5
10/17/2014,22.25,23.65,21.85,23,22.9,-1.65,145,0,5
10/16/2014,26.2,27.1,24.25,24.55,24.55,-1.3,50,0,130
10/15/2014,25.05,26.55,23.75,24.3,25.85,3.25,100,0,120
10/14/2014,22.2,23.9,21.15,23.15,22.6,-0.25,80,0,45
10/13/2014,21.75,23.85,20.5,23.6,22.85,1.45,60,0,5
10/10/2014,19.6,21.5,18.55,19.6,21.4,2.9,2,0,5
10/9/2014,0,18.6,17.35,0,18.5,1.2,0,0,7
10/8/2014,19.15,19.25,17.3,18.55,17.3,-1.8,20,0,7
10/7/2014,18.55,19.05,18.35,18.7,19.1,1.2,60,0,7
10/6/2014,0,17.85,16.9,0,17.9,0.6,0,0,7
10/3/2014,0,17.85,17.2,0,17.3,-1.15,0,0,7
10/2/2014,18.5,19.05,18.1,18.25,18.45,-0.2,90,0,7
10/1/2014,0,18.6,18.75,0,18.65,0.8,30,0,7
9/30/2014,0,17.95,17.5,0,17.85,-0.15,0,0,7
9/29/2014,0,17.95,17.45,0,18,1,0,0,7
9/26/2014,0,17.35,16.9,0,17,-0.25,0,0,7
9/25/2014,16.9,17.35,16.2,17.15,17.25,1.25,16,0,7
9/24/2014,0,16.45,16.05,0,16,-0.65,0,0,9
9/23/2014,0,16.5,16.25,0,16.65,0.4,0,0,9
9/22/2014,0,16.1,15.7,0,16.25,0.75,0,0,9
9/19/2014,0,15.55,15.35,0,15.5,0.1,0,0,9
9/18/2014,0,15.5,15.5,0,15.4,-0.25,0,0,9
9/17/2014,0,0,0,0,14.83,-0.22,0,0,90
9/16/2014,16.55,16.55,15.05,15.7,15.05,-1.25,62,0,90
9/15/2014,16.15,16.4,15.2,16.4,16.3,1.25,22,0,32
9/12/2014,14.95,15.35,14.75,15.25,15.05,0.3,75,0,24
9/11/2014,15.1,15.2,14.8,15,14.75,0.05,50,0,99
9/10/2014,0,14.95,14.75,0,14.7,-0.15,0,0,104
9/9/2014,14.45,14.8,14.25,14.8,14.85,0.65,90,0,104
9/8/2014,14.3,14.3,14.1,14.1,14.2,-0.25,45,0,104
9/5/2014,0,14.75,14.55,0,14.45,-0.2,0,0,104
9/4/2014,14.4,14.7,14.35,14.35,14.65,0.05,30,0,104
9/3/2014,14.6,14.65,14.35,14.55,14.6,0.1,30,0,104
9/2/2014,14.5,14.6,14.4,14.45,14.5,-0.05,75,0,120
8/29/2014,0,14.6,14.45,0,14.55,0.1,0,0,135
8/28/2014,0,14.7,14.6,0,14.45,0.05,0,0,135
8/27/2014,0,14.4,14.45,0,14.4,0,0,0,135
8/26/2014,0,14.4,14.4,0,14.4,0,0,0,135
8/25/2014,14.3,14.5,14.3,14.5,14.4,-0.05,35,0,135
8/22/2014,0,14.65,14.5,0,14.45,-0.05,0,0,135
8/21/2014,0,14.7,14.6,0,14.5,-0.1,0,0,135
8/20/2014,0,0,0,0,12.85,-0.05,0,0,95
8/19/2014,0,12.95,12.95,0,12.9,-0.25,0,0,95
8/18/2014,13.3,13.5,13.25,13.4,13.15,-0.7,22,0,95
8/15/2014,13.8,14.75,13.55,14.45,13.85,-0.3,75,0,87
8/14/2014,0,14.75,14.25,0,14.15,-0.85,0,0,27
8/13/2014,0,15.6,15.05,0,15,-1.15,0,0,27
8/12/2014,0,16.35,16.05,0,16.15,-0.25,0,0,27
8/11/2014,16.1,16.65,15.95,16.1,16.4,-0.85,15,0,27
8/8/2014,17.75,17.9,17.1,17.75,17.25,-0.5,14,0,27
8/7/2014,0,17.85,16.8,0,17.75,0.55,0,0,20
8/6/2014,0,17.2,16.55,0,17.2,0.1,0,0,20
8/5/2014,0,17.3,16.15,0,17.1,1.05,0,0,20
8/4/2014,0,16.75,15.75,0,16.05,-0.95,0,0,20
8/1/2014,15.6,17,15.4,15.75,17,1.05,17,0,20
7/31/2014,15.6,15.9,15.2,15.6,15.95,1.25,14,0,35
7/30/2014,0,14.65,14.4,0,14.7,0.05,0,0,42
7/29/2014,0,14.6,14.5,0,14.65,0.05,0,0,42
7/28/2014,0,14.85,14.6,0,14.6,-0.15,0,0,42
7/25/2014,0,14.75,14.7,0,14.75,0.3,0,0,42
7/24/2014,0,14.6,14.45,0,14.45,-0.05,0,0,42
7/23/2014,0,14.45,14.4,0,14.5,0,0,0,42
7/22/2014,0,14.55,14.45,0,14.5,-0.35,0,0,42
7/21/2014,0,15,14.75,0,14.85,0.2,0,0,42
7/18/2014,15.05,15.05,14.6,15.05,14.65,-0.9,14,0,42
7/17/2014,15.8,15.9,14.7,15.85,15.55,1.05,17,0,35
7/16/2014,0,0,0,0,14.06,-0.24,0,0,60
7/15/2014,13.8,14.5,13.7,13.8,14.3,0.45,2,0,60
7/14/2014,13.8,13.8,13.7,13.8,13.85,-0.35,7,0,62
7/11/2014,0,14.3,14.15,0,14.2,-0.3,0,0,69
7/10/2014,0,14.75,14.25,0,14.5,0.7,0,0,69
7/9/2014,0,13.8,13.6,0,13.8,0,0,0,69
7/8/2014,0,14,13.5,0,13.8,0.45,0,0,69
7/7/2014,0,13.3,13.1,0,13.35,0.4,0,0,69
7/3/2014,13.2,13.2,13,13,12.95,-0.2,9,0,69
7/2/2014,12.95,13.15,12.95,12.95,13.15,-0.1,10,0,69
7/1/2014,13.45,13.45,13.25,13.45,13.25,-0.3,3,0,59
6/30/2014,13.55,13.65,13.5,13.55,13.55,-0.2,10,0,59
6/27/2014,0,14,13.8,0,13.75,-0.1,0,0,49
6/26/2014,0,14.15,13.85,0,13.85,-0.05,0,0,49
6/25/2014,14.4,14.6,13.9,14.4,13.9,-0.5,15,0,49
6/24/2014,14.5,14.55,14.1,14.35,14.4,0.05,86,0,49
6/23/2014,14.95,14.95,14.5,14.75,14.35,-0.55,30,0,75
6/20/2014,14.85,14.85,14.75,14.85,14.9,0.05,15,0,90
6/19/2014,0,14.75,14.55,0,14.85,0.2,0,0,105
6/18/2014,0,0,0,0,13.35,-0.5,0,0,365
6/17/2014,14.3,14.3,13.75,13.8,13.85,-0.5,52,0,365
6/16/2014,14.55,14.55,14.35,14.4,14.35,-0.15,67,0,417
6/13/2014,14.7,14.8,14.5,14.5,14.5,-0.3,45,0,357
6/12/2014,14.55,15.1,14.45,15,14.8,0.45,45,0,312
6/11/2014,14.55,14.55,14.35,14.5,14.35,0,30,0,267
6/10/2014,0,14.5,14.25,0,14.35,-0.25,0,0,237
6/9/2014,14.45,14.55,14.25,14.45,14.6,0.35,10,0,237
6/6/2014,0,14.45,14.35,0,14.25,-0.6,0,0,227
6/5/2014,0,15.2,14.8,0,14.85,-0.45,0,0,227
6/4/2014,0,15.6,15.3,0,15.3,-0.1,0,0,227
6/3/2014,15.4,15.45,15.4,15.4,15.4,-0.05,10,0,227
6/2/2014,15.45,15.65,15.45,15.45,15.45,-0.1,20,0,217
5/30/2014,0,15.55,15.45,0,15.55,0.1,0,0,197
5/29/2014,0,15.4,15.45,0,15.45,-0.1,0,0,197
5/28/2014,15.45,15.55,15.45,15.45,15.55,0.2,15,0,197
5/27/2014,0,15.55,15.35,0,15.35,-0.45,0,0,182
5/23/2014,16.05,16.05,15.95,15.95,15.8,-0.35,46,0,182
5/22/2014,16.15,16.15,15.85,15.85,16.15,-0.15,30,0,136
5/21/2014,0,0,0,0,14.53,-0.92,0,0,510
5/20/2014,15.35,15.8,15.25,15.75,15.45,-0.25,75,0,510
5/19/2014,16.4,16.4,15.65,15.7,15.7,-0.5,54,0,585
5/16/2014,16.5,16.85,16.25,16.25,16.2,-0.55,30,0,542
5/15/2014,16.4,17.1,16.25,16.4,16.75,0.4,15,0,512
5/14/2014,16.4,16.55,16.15,16.55,16.35,-0.25,30,0,527
5/13/2014,16.55,16.7,16.55,16.55,16.6,-0.05,15,0,557
5/12/2014,16.9,17.1,16.5,16.5,16.65,-0.8,47,0,542
5/9/2014,0,18.15,17.55,0,17.45,-0.45,0,0,495
5/8/2014,17.75,17.95,17.55,17.9,17.9,0,60,0,495
5/7/2014,18.1,18.35,17.7,18.35,17.9,0.2,30,0,495
5/6/2014,0,17.6,17.4,0,17.7,0.25,0,0,525
5/5/2014,17.65,18.1,17.55,17.65,17.45,-0.35,15,0,525
5/2/2014,0,17.9,17.75,0,17.8,-0.05,0,0,510
5/1/2014,0,18,17.8,0,17.85,-0.25,0,0,510
4/30/2014,18.3,18.3,18.1,18.1,18.1,0,44,0,510
4/29/2014,18.15,18.4,18.1,18.4,18.1,-0.25,28,0,503
4/28/2014,18.6,18.8,18.4,18.6,18.35,-0.1,14,0,503
4/25/2014,0,18.65,18.4,0,18.45,0.35,0,0,510
4/24/2014,18.25,18.35,17.95,17.95,18.1,-0.15,45,0,510
4/23/2014,18.25,18.3,18.25,18.25,18.25,0.2,15,0,465
4/22/2014,18.4,18.5,18.05,18.05,18.05,-0.45,37,0,450
4/21/2014,18.6,18.75,18.55,18.6,18.5,-0.35,1,0,423
4/17/2014,0,19.05,18.75,0,18.85,-0.35,0,0,424
4/16/2014,0,0,0,0,22.81,1.36,0,0,280
4/15/2014,21.1,22.55,20.35,21.55,21.45,0.9,61,0,280
4/14/2014,20.7,21.75,20.4,21.7,20.55,-0.5,19,0,240
4/11/2014,19.6,21.2,19.4,20.95,21.05,1.8,141,0,250
4/10/2014,18.15,19.5,17.5,19.05,19.25,1.75,100,0,110
4/9/2014,0,18,17.5,0,17.5,-0.6,0,0,38
4/8/2014,18.65,18.8,18.25,18.3,18.1,-0.6,21,0,38
4/7/2014,0,19.05,18.4,0,18.7,0.45,0,0,59
4/4/2014,17.25,18.45,17.05,18.25,18.25,1.15,66,0,59
4/3/2014,17.2,17.35,17,17.2,17.1,0.1,1,0,83
4/2/2014,16.8,17,16.8,16.8,17,0.2,1,0,82
4/1/2014,17.3,17.55,16.95,17.25,16.8,-1.1,17,0,83
3/31/2014,17.85,18.05,17.85,18.05,17.9,-0.2,20,0,77
3/28/2014,18.05,18.3,17.95,18.25,18.1,-0.2,81,0,86
3/27/2014,18.35,18.55,18.25,18.4,18.3,0.05,41,0,15
3/26/2014,17.85,18.2,17.75,17.85,18.25,0.55,10,0,44
3/25/2014,17.7,18.05,17.7,17.7,17.7,-0.4,20,0,34
3/24/2014,17.55,18.4,17.55,18.05,18.1,0.35,92,0,14
3/21/2014,17.15,17.6,17.15,17.25,17.75,0.65,2,0,29
3/20/2014,17.3,17.35,17.15,17.3,17.1,-0.1,20,0,27
3/19/2014,0,17.6,16.85,0,17.2,0.3,0,0,7
3/18/2014,0,0,0,0,18.45,0.95,0,0,53
3/17/2014,17.3,17.6,17.2,17.3,17.5,-1.2,7,0,53
3/14/2014,18.15,18.85,17.9,18.4,18.7,1,28,0,53
3/13/2014,16.15,17.85,16.15,17.3,17.7,1.4,21,0,81
3/12/2014,16.75,16.9,16.3,16.3,16.3,-0.2,60,0,102
3/11/2014,16.1,16.45,16.05,16.3,16.5,0.1,40,0,82
3/10/2014,0,17,16.4,0,16.4,-0.25,0,0,82
3/7/2014,0,16.85,16.25,0,16.65,0.55,0,0,82
3/6/2014,16.2,16.3,16.15,16.2,16.1,-0.25,20,0,82
3/5/2014,16.6,16.6,16.45,16.6,16.35,-0.15,20,0,82
3/4/2014,16.6,16.65,16.55,16.6,16.5,-1.15,20,0,102
3/3/2014,17.4,17.75,17.15,17.4,17.65,1,81,0,122
2/28/2014,16.2,16.9,16.15,16.2,16.65,0.3,20,0,122
2/27/2014,0,16.55,16.25,0,16.35,0,0,0,142
2/26/2014,16.2,16.45,16,16,16.35,0.25,40,0,142
2/25/2014,16.2,16.3,16.05,16.2,16.1,0,20,0,142
2/24/2014,16.1,16.35,16.1,16.1,16.1,-0.3,20,0,162
2/21/2014,16,16.35,16,16.05,16.4,0.2,40,0,142
2/20/2014,16.65,16.8,16.3,16.8,16.2,-0.35,40,0,102
2/19/2014,0,0,0,0,16.37,0.92,0,0,28
2/18/2014,15.55,15.7,15.35,15.35,15.45,-0.1,39,0,28
2/14/2014,0,15.95,15.7,0,15.55,-0.4,0,0,60
2/13/2014,0,16.2,15.95,0,15.95,0.05,0,0,60
2/12/2014,0,16.1,15.95,0,15.9,-0.45,0,0,60
2/11/2014,0,16.7,16.2,0,16.35,-0.4,0,0,60
2/10/2014,16.8,16.9,16.65,16.8,16.75,-0.05,14,0,60
2/7/2014,0,17.55,16.6,0,16.8,-1.45,0,0,67
2/6/2014,18.9,19.65,18.2,18.7,18.25,-1.95,60,0,67
2/5/2014,19.8,20.5,19.6,19.8,20.2,0.55,10,0,7
2/4/2014,18.95,19.5,18.9,19.15,19.65,0,50,0,17
2/3/2014,18.8,19.55,18.3,19.35,19.65,1.3,46,0,47
1/31/2014,0,18.35,17.7,0,18.35,0.8,0,0,13
1/30/2014,17.05,17.35,16.7,17,17.55,0.1,40,0,13
1/29/2014,0,17.65,16.9,0,17.45,0.8,0,0,53
1/28/2014,16.9,17.15,16.7,16.9,16.65,-0.6,20,0,53
1/27/2014,0,18.05,16.55,0,17.25,0.2,0,0,33
1/24/2014,15.95,16.95,15.95,16.15,17.05,1.6,28,0,33
1/23/2014,15.6,15.75,15.35,15.35,15.45,0.3,28,0,40
1/22/2014,0,0,0,0,14.22,-0.58,0,0,2
1/21/2014,14.7,14.9,14.6,14.6,14.8,-0.15,46,0,2
1/17/2014,14.75,15.05,14.75,15.05,14.95,0.1,12,0,47
1/16/2014,14.75,14.75,14.4,14.7,14.85,0.25,30,0,52
1/15/2014,14.4,14.45,14.4,14.4,14.6,0.1,5,0,22
1/14/2014,14.45,15.25,14.4,14.5,14.5,-1,74,0,17
1/13/2014,14.9,15.65,14.6,14.9,15.5,0.5,20,0,91
1/10/2014,15.15,15.4,15.1,15.15,15,-0.6,20,0,111
1/9/2014,15.4,15.55,15.4,15.4,15.6,0.2,21,0,131
1/8/2014,15.65,15.65,15.45,15.45,15.4,-0.15,80,0,152
1/7/2014,15.55,15.65,15.55,15.55,15.55,-0.35,20,0,212
1/6/2014,16.05,16.05,15.7,15.7,15.9,0,34,0,212
1/3/2014,16,16,15.8,16,15.9,0.1,20,0,219
1/2/2014,15.75,16,15.75,16,15.8,0.15,55,0,219
12/31/2013,15.5,15.6,15.4,15.5,15.65,0.25,20,0,212
12/30/2013,15.3,15.4,15.3,15.3,15.4,0.1,20,0,212
12/27/2013,15,15.3,15,15,15.3,0.25,1,0,232
12/26/2013,0,15,14.9,0,15.05,0.2,0,0,232
12/24/2013,0,15.25,14.9,0,14.85,-0.5,0,0,232
12/23/2013,0,15.6,15.4,0,15.35,-0.6,0,0,232
12/20/2013,0,15.85,15.75,0,15.95,0,0,0,232
12/19/2013,0,15.9,15.8,0,15.95,0.1,0,0,232
12/18/2013,0,0,0,0,16.42,-0.73,0,0,19
12/17/2013,0,17.15,16.65,0,17.15,0.35,0,0,19
12/16/2013,16.25,16.7,16.15,16.55,16.8,0.3,71,0,19
12/13/2013,16.5,16.5,16.2,16.45,16.5,0.15,34,0,27
12/12/2013,16,16.65,15.85,16.3,16.35,0.45,94,0,30
12/11/2013,15.65,15.85,15,15.75,15.9,1,74,0,97
12/10/2013,15,15,14.9,14.9,14.9,0,54,0,97
12/9/2013,14.9,15,14.8,14.9,14.9,-0.25,14,0,90
12/6/2013,15.25,15.25,15.15,15.25,15.15,-0.3,14,0,97
12/5/2013,15.2,15.5,14.95,15.4,15.45,0.35,54,0,90
12/4/2013,0,15.75,15.15,0,15.1,-0.3,0,0,137
12/3/2013,15.25,15.75,15.25,15.65,15.4,0.25,40,0,137
12/2/2013,15,15.15,14.8,15,15.15,0.4,20,0,137
11/29/2013,14.65,14.65,14.65,14.65,14.75,0.1,10,0,157
11/27/2013,14.6,14.6,14.6,14.6,14.65,-0.1,10,0,157
11/26/2013,0,14.7,14.75,0,14.75,0,0,0,147
11/25/2013,14.75,14.85,14.7,14.85,14.75,-0.1,45,0,147
11/22/2013,0,14.75,14.85,0,14.85,-0.05,0,0,147
11/21/2013,0,15.1,15,0,14.9,-0.5,0,0,147
11/20/2013,0,0,0,0,14.32,-0.38,0,0,60
11/19/2013,14.6,14.65,14.45,14.65,14.7,0.1,60,0,60
11/18/2013,14.05,14.45,14,14.05,14.6,0.55,7,0,60
